oid,tgrelid,tgparentid,tgname,tgfoid,tgtype,tgenabled,tgisinternal,tgconstrrelid,tgconstrindid,tgconstraint,tgdeferrable,tginitdeferred,tgnargs,tgattr,tgargs,tgqual,tgoldtable,tgnewtable
17946,16786,0,RI_ConstraintTrigger_a_17946,1655,17,O,True,16651,17754,17944,False,False,0,,<memory at 0x000001A696CF6140>,,,
17947,16651,0,RI_ConstraintTrigger_c_17947,1644,5,O,True,16786,17754,17944,False,False,0,,<memory at 0x000001A696CF62C0>,,,
17948,16651,0,RI_ConstraintTrigger_c_17948,1645,17,O,True,16786,17754,17944,False,False,0,,<memory at 0x000001A696CF6440>,,,
17950,16642,0,RI_ConstraintTrigger_a_17950,1654,9,O,True,16651,17534,17949,False,False,0,,<memory at 0x000001A696CF65C0>,,,
17951,16642,0,RI_ConstraintTrigger_a_17951,1655,17,O,True,16651,17534,17949,False,False,0,,<memory at 0x000001A696CF6740>,,,
17952,16651,0,RI_ConstraintTrigger_c_17952,1644,5,O,True,16642,17534,17949,False,False,0,,<memory at 0x000001A696CF68C0>,,,
17953,16651,0,RI_ConstraintTrigger_c_17953,1645,17,O,True,16642,17534,17949,False,False,0,,<memory at 0x000001A696CF6A40>,,,
17955,16633,0,RI_ConstraintTrigger_a_17955,1654,9,O,True,16651,17572,17954,False,False,0,,<memory at 0x000001A696CF6BC0>,,,
17956,16633,0,RI_ConstraintTrigger_a_17956,1655,17,O,True,16651,17572,17954,False,False,0,,<memory at 0x000001A696CF6D40>,,,
17957,16651,0,RI_ConstraintTrigger_c_17957,1644,5,O,True,16633,17572,17954,False,False,0,,<memory at 0x000001A696CF6EC0>,,,
17958,16651,0,RI_ConstraintTrigger_c_17958,1645,17,O,True,16633,17572,17954,False,False,0,,<memory at 0x000001A696CF7040>,,,
17960,16651,0,RI_ConstraintTrigger_a_17960,1654,9,O,True,16671,17482,17959,False,False,0,,<memory at 0x000001A696CF71C0>,,,
17961,16651,0,RI_ConstraintTrigger_a_17961,1655,17,O,True,16671,17482,17959,False,False,0,,<memory at 0x000001A696CF7340>,,,
17962,16671,0,RI_ConstraintTrigger_c_17962,1644,5,O,True,16651,17482,17959,False,False,0,,<memory at 0x000001A696CF74C0>,,,
17963,16671,0,RI_ConstraintTrigger_c_17963,1645,17,O,True,16651,17482,17959,False,False,0,,<memory at 0x000001A696CF7640>,,,
17965,16651,0,RI_ConstraintTrigger_a_17965,1654,9,O,True,16686,17482,17964,False,False,0,,<memory at 0x000001A696CF77C0>,,,
17966,16651,0,RI_ConstraintTrigger_a_17966,1655,17,O,True,16686,17482,17964,False,False,0,,<memory at 0x000001A696CF7940>,,,
17967,16686,0,RI_ConstraintTrigger_c_17967,1644,5,O,True,16651,17482,17964,False,False,0,,<memory at 0x000001A696CF7AC0>,,,
17968,16686,0,RI_ConstraintTrigger_c_17968,1645,17,O,True,16651,17482,17964,False,False,0,,<memory at 0x000001A696CF7C40>,,,
17970,16611,0,RI_ConstraintTrigger_a_17970,1654,9,O,True,16686,17381,17969,False,False,0,,<memory at 0x000001A696CF7DC0>,,,
17971,16611,0,RI_ConstraintTrigger_a_17971,1655,17,O,True,16686,17381,17969,False,False,0,,<memory at 0x000001A696CF7F40>,,,
17972,16686,0,RI_ConstraintTrigger_c_17972,1644,5,O,True,16611,17381,17969,False,False,0,,<memory at 0x000001A696D14100>,,,
17973,16686,0,RI_ConstraintTrigger_c_17973,1645,17,O,True,16611,17381,17969,False,False,0,,<memory at 0x000001A696D14280>,,,
17975,16693,0,RI_ConstraintTrigger_a_17975,1654,9,O,True,16704,17442,17974,False,False,0,,<memory at 0x000001A696D14400>,,,
17976,16693,0,RI_ConstraintTrigger_a_17976,1655,17,O,True,16704,17442,17974,False,False,0,,<memory at 0x000001A696D14580>,,,
17977,16704,0,RI_ConstraintTrigger_c_17977,1644,5,O,True,16693,17442,17974,False,False,0,,<memory at 0x000001A696D14700>,,,
17978,16704,0,RI_ConstraintTrigger_c_17978,1645,17,O,True,16693,17442,17974,False,False,0,,<memory at 0x000001A696D14880>,,,
17980,16651,0,RI_ConstraintTrigger_a_17980,1654,9,O,True,16704,17482,17979,False,False,0,,<memory at 0x000001A696D14A00>,,,
17981,16651,0,RI_ConstraintTrigger_a_17981,1655,17,O,True,16704,17482,17979,False,False,0,,<memory at 0x000001A696D14B80>,,,
17982,16704,0,RI_ConstraintTrigger_c_17982,1644,5,O,True,16651,17482,17979,False,False,0,,<memory at 0x000001A696D14D00>,,,
17983,16704,0,RI_ConstraintTrigger_c_17983,1645,17,O,True,16651,17482,17979,False,False,0,,<memory at 0x000001A696D14E80>,,,
17985,16651,0,RI_ConstraintTrigger_a_17985,1654,9,O,True,16711,17482,17984,False,False,0,,<memory at 0x000001A696D15000>,,,
17986,16651,0,RI_ConstraintTrigger_a_17986,1655,17,O,True,16711,17482,17984,False,False,0,,<memory at 0x000001A696D15180>,,,
17987,16711,0,RI_ConstraintTrigger_c_17987,1644,5,O,True,16651,17482,17984,False,False,0,,<memory at 0x000001A696D15300>,,,
17988,16711,0,RI_ConstraintTrigger_c_17988,1645,17,O,True,16651,17482,17984,False,False,0,,<memory at 0x000001A696D15480>,,,
17990,16642,0,RI_ConstraintTrigger_a_17990,1654,9,O,True,16727,17534,17989,False,False,0,,<memory at 0x000001A696D15600>,,,
17991,16642,0,RI_ConstraintTrigger_a_17991,1655,17,O,True,16727,17534,17989,False,False,0,,<memory at 0x000001A696D15780>,,,
17992,16727,0,RI_ConstraintTrigger_c_17992,1644,5,O,True,16642,17534,17989,False,False,0,,<memory at 0x000001A696D15900>,,,
17993,16727,0,RI_ConstraintTrigger_c_17993,1645,17,O,True,16642,17534,17989,False,False,0,,<memory at 0x000001A696D15A80>,,,
17995,16720,0,RI_ConstraintTrigger_a_17995,1654,9,O,True,16727,17434,17994,False,False,0,,<memory at 0x000001A696D15C00>,,,
17996,16720,0,RI_ConstraintTrigger_a_17996,1655,17,O,True,16727,17434,17994,False,False,0,,<memory at 0x000001A696D15D80>,,,
17997,16727,0,RI_ConstraintTrigger_c_17997,1644,5,O,True,16720,17434,17994,False,False,0,,<memory at 0x000001A696D15F00>,,,
17998,16727,0,RI_ConstraintTrigger_c_17998,1645,17,O,True,16720,17434,17994,False,False,0,,<memory at 0x000001A696D16080>,,,
18005,16605,0,RI_ConstraintTrigger_a_18005,1654,9,O,True,16731,17373,18004,False,False,0,,<memory at 0x000001A696D16200>,,,
18006,16605,0,RI_ConstraintTrigger_a_18006,1655,17,O,True,16731,17373,18004,False,False,0,,<memory at 0x000001A696D16380>,,,
18007,16731,0,RI_ConstraintTrigger_c_18007,1644,5,O,True,16605,17373,18004,False,False,0,,<memory at 0x000001A696D16500>,,,
18008,16731,0,RI_ConstraintTrigger_c_18008,1645,17,O,True,16605,17373,18004,False,False,0,,<memory at 0x000001A696D16680>,,,
18010,16642,0,RI_ConstraintTrigger_a_18010,1654,9,O,True,16731,17534,18009,False,False,0,,<memory at 0x000001A696D16800>,,,
18011,16642,0,RI_ConstraintTrigger_a_18011,1655,17,O,True,16731,17534,18009,False,False,0,,<memory at 0x000001A696D16980>,,,
18012,16731,0,RI_ConstraintTrigger_c_18012,1644,5,O,True,16642,17534,18009,False,False,0,,<memory at 0x000001A696D16B00>,,,
18013,16731,0,RI_ConstraintTrigger_c_18013,1645,17,O,True,16642,17534,18009,False,False,0,,<memory at 0x000001A696D16C80>,,,
18015,16651,0,RI_ConstraintTrigger_a_18015,1654,9,O,True,16743,17482,18014,False,False,0,,<memory at 0x000001A696D16E00>,,,
18016,16651,0,RI_ConstraintTrigger_a_18016,1655,17,O,True,16743,17482,18014,False,False,0,,<memory at 0x000001A696D16F80>,,,
18017,16743,0,RI_ConstraintTrigger_c_18017,1644,5,O,True,16651,17482,18014,False,False,0,,<memory at 0x000001A696D17100>,,,
18018,16743,0,RI_ConstraintTrigger_c_18018,1645,17,O,True,16651,17482,18014,False,False,0,,<memory at 0x000001A696D17280>,,,
18020,16736,0,RI_ConstraintTrigger_a_18020,1654,9,O,True,16743,17554,18019,False,False,0,,<memory at 0x000001A696D17400>,,,
18021,16736,0,RI_ConstraintTrigger_a_18021,1655,17,O,True,16743,17554,18019,False,False,0,,<memory at 0x000001A696D17580>,,,
